"gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"strand"	"entrezgene_id"
"ENSG00000261657"	"SLC25A26"	"HG991_PATCH"	66119285	66465398	"+"	115286
"ENSG00000261530"	"BTC"	"HG706_PATCH"	75610476	75660403	"-"	685
"ENSG00000260334"	"GAST"	"HG185_PATCH"	39868578	39872221	"+"	2520
"ENSG00000261125"	"HAP1"	"HG185_PATCH"	39873994	39890896	"-"	9001
"ENSG00000261577"	"JUP"	"HG185_PATCH"	39910856	39943183	"-"	3728
"ENSG00000261258"	"FKBP10"	"HG185_PATCH"	39968962	39979465	"+"	60681
"ENSG00000260753"	"NT5C3B"	"HG185_PATCH"	39981433	39992515	"-"	115024
"ENSG00000215405"	"GOLGA6L6"	"15"	20737094	20747114	"-"	727832
"ENSG00000261631"	"KLHL10"	"HG185_PATCH"	39991937	40004636	"+"	317719
"ENSG00000230031"	"POTEB2"	"15"	21040701	21071643	"-"	100996331
"ENSG00000230031"	"POTEB2"	"15"	21040701	21071643	"-"	100287399
"ENSG00000259896"	"KLHL11"	"HG185_PATCH"	40009797	40021683	"-"	55175
"ENSG00000138593"	"SECISBP2L"	"15"	49280673	49338760	"-"	9728
"ENSG00000233917"	"POTEB"	"15"	22051853	22083227	"-"	100996331
"ENSG00000233917"	"POTEB"	"15"	22051853	22083227	"-"	100288966
"ENSG00000233917"	"POTEB"	"15"	22051853	22083227	"-"	100287399
"ENSG00000233917"	"POTEB"	"15"	22051853	22083227	"-"	317754
"ENSG00000166157"	"TPTE"	"21"	10906201	11029719	"-"	7179
"ENSG00000260245"	"ACLY"	"HG185_PATCH"	40023160	40075239	"-"	47
"ENSG00000260703"	"TTC25"	"HG185_PATCH"	40086887	40121903	"+"	83538
"ENSG00000166351"	"POTED"	"21"	14982498	15013906	"+"	388468
"ENSG00000166351"	"POTED"	"21"	14982498	15013906	"+"	339010
"ENSG00000166351"	"POTED"	"21"	14982498	15013906	"+"	317754
"ENSG00000260283"	"CNP"	"HG185_PATCH"	40122993	40131428	"+"	1267
"ENSG00000168675"	"LDLRAD4"	"18"	13217497	13652754	"+"	753
"ENSG00000262684"	"DNAJC7"	"HG185_PATCH"	40132691	40173905	"-"	7266
"ENSG00000188992"	"LIPI"	"21"	15481134	15583166	"-"	149998
"ENSG00000185272"	"RBM11"	"21"	15588451	15600693	"+"	54033
"ENSG00000182974"	"OR4M2"	"15"	22368478	22369561	"+"	390538
"ENSG00000260770"	"NKIRAS2"	"HG185_PATCH"	40173272	40181893	"+"	28511
"ENSG00000183706"	"OR4N4"	"15"	22382382	22383507	"+"	283694
"ENSG00000155304"	"HSPA13"	"21"	15743436	15755805	"-"	6782
"ENSG00000260320"	"ZNF385C"	"HG185_PATCH"	40181828	40219330	"-"	201181
"ENSG00000197414"	"GOLGA6L1"	"15"	22736246	22746002	"+"	645202
"ENSG00000197414"	"GOLGA6L1"	"15"	22736246	22746002	"+"	440243
"ENSG00000197414"	"GOLGA6L1"	"15"	22736246	22746002	"+"	283767
"ENSG00000260178"	"DHX58"	"HG185_PATCH"	40257656	40268985	"-"	79132
"ENSG00000166200"	"COPS2"	"15"	49398268	49447858	"-"	9318
"ENSG00000155307"	"SAMSN1"	"21"	15857549	15955723	"-"	64092
"ENSG00000259958"	"KAT2A"	"HG185_PATCH"	40269360	40277610	"-"	2648
"ENSG00000260325"	"HSPB9"	"HG185_PATCH"	40277683	40279604	"+"	94086
"ENSG00000261378"	"RAB5C"	"HG185_PATCH"	40281228	40311269	"-"	5878
"ENSG00000153575"	"TUBGCP5"	"15"	22833395	22873892	"+"	114791
"ENSG00000180530"	"NRIP1"	"21"	16333556	16437321	"-"	8204
"ENSG00000137824"	"RMDN3"	"15"	41028082	41048049	"-"	55177
"ENSG00000261371"	"PECAM1"	"HG183_PATCH"	62399863	62491136	"-"	5175
"ENSG00000263304"	"MILR1"	"HG183_PATCH"	62526397	62546003	"+"	284021
"ENSG00000137880"	"GCHFR"	"15"	41056218	41059906	"+"	2644
"ENSG00000262917"	"POLG2"	"HG183_PATCH"	62555145	62574426	"-"	11232
"ENSG00000104129"	"DNAJC17"	"15"	41060067	41099675	"-"	55192
"ENSG00000177150"	"FAM210A"	"18"	13663346	13726662	"-"	125228
"ENSG00000155313"	"USP25"	"21"	17102344	17252377	"+"	29761
"ENSG00000263077"	"DDX5"	"HG183_PATCH"	62576980	62585072	"-"	100616408
"ENSG00000263077"	"DDX5"	"HG183_PATCH"	62576980	62585072	"-"	100616387
"ENSG00000263077"	"DDX5"	"HG183_PATCH"	62576980	62585072	"-"	1655
"ENSG00000101638"	"ST8SIA5"	"18"	44259081	44339220	"-"	29906
"ENSG00000232560"	"C21orf37"	"21"	18811208	18821503	"+"	NA
"ENSG00000263046"	"CEP95"	"HG183_PATCH"	62584096	62615309	"+"	90799
"ENSG00000154639"	"CXADR"	"21"	18884700	18965897	"+"	1525
"ENSG00000101654"	"RNMT"	"18"	13726659	13764557	"+"	8731
"ENSG00000261074"	"QSOX2"	"HG998_1_PATCH"	139098179	139137687	"-"	169714
"ENSG00000078043"	"PIAS2"	"18"	44388353	44500123	"-"	9063
"ENSG00000156958"	"GALK2"	"15"	49447853	49660066	"+"	2585
"ENSG00000154640"	"BTG3"	"21"	18965971	18985265	"-"	10950
"ENSG00000188277"	"C15orf62"	"15"	41062159	41064643	"+"	643338
"ENSG00000249139"	"EPPIN-WFDC6"	"20"	44165625	44176065	"-"	100526773
"ENSG00000260587"	"DOCK3"	"HG186_PATCH"	50712672	51421329	"+"	1795
"ENSG00000259880"	"MANF"	"HG186_PATCH"	51422478	51426828	"+"	7873
"ENSG00000158901"	"WFDC8"	"20"	44179792	44207965	"-"	90199
"ENSG00000140416"	"TPM1"	"15"	63334831	63364114	"+"	7168
"ENSG00000259956"	"RBM15B"	"HG186_PATCH"	51428699	51435339	"+"	29890
"ENSG00000180205"	"WFDC9"	"20"	44236578	44259907	"-"	259240
"ENSG00000154642"	"C21orf91"	"21"	19161284	19191703	"-"	54149
"ENSG00000260383"	"MROH1"	"HG243_PATCH"	145202919	145316830	"+"	727957
"ENSG00000260383"	"MROH1"	"HG243_PATCH"	145202919	145316830	"+"	377711
"ENSG00000140577"	"CRTC3"	"15"	91073157	91188577	"+"	64784
"ENSG00000261236"	"BOP1"	"HG243_PATCH"	145317005	145346273	"-"	102465906
"ENSG00000261236"	"BOP1"	"HG243_PATCH"	145317005	145346273	"-"	23246
"ENSG00000166140"	"ZFYVE19"	"15"	41099284	41106767	"+"	84936
"ENSG00000101138"	"CSTF1"	"20"	54967427	54979518	"+"	1477
"ENSG00000154645"	"CHODL"	"21"	19273580	19639690	"+"	140578
"ENSG00000260623"	"VPRBP"	"HG186_PATCH"	51433298	51537425	"-"	9730
"ENSG00000180305"	"WFDC10A"	"20"	44258165	44259835	"+"	140832
"ENSG00000068793"	"CYFIP1"	"15"	22892005	23006016	"+"	23191
"ENSG00000180083"	"WFDC11"	"20"	44277202	44298909	"-"	259239
"ENSG00000182931"	"WFDC10B"	"20"	44313292	44333658	"-"	280664
"ENSG00000154646"	"TMPRSS15"	"21"	19641433	19858197	"-"	5651
"ENSG00000168634"	"WFDC13"	"20"	44330655	44337456	"+"	164237
"ENSG00000149651"	"SPINT4"	"20"	44350990	44354469	"+"	391253
"ENSG00000261132"	"HSF1"	"HG243_PATCH"	145346494	145369625	"+"	3297
"ENSG00000261443"	"RAD54L2"	"HG186_PATCH"	51579011	51701025	"+"	23132
"ENSG00000101365"	"IDH3B"	"20"	2639041	2644865	"-"	3420
"ENSG00000167216"	"KATNAL2"	"18"	44497455	44627658	"+"	83473
"ENSG00000124116"	"WFDC3"	"20"	44376583	44420571	"-"	140686
"ENSG00000087589"	"CASS4"	"20"	54987168	55034396	"+"	57091
"ENSG00000154654"	"NCAM2"	"21"	22370633	22915650	"+"	4685
"ENSG00000166143"	"PPP1R14D"	"15"	41107650	41120907	"-"	54866
"ENSG00000261698"	"DGAT1"	"HG243_PATCH"	145371194	145381813	"-"	8694
"ENSG00000166262"	"FAM227B"	"15"	49619159	49913128	"-"	196951
"ENSG00000176136"	"MC5R"	"18"	13824154	13826861	"+"	4161
"ENSG00000185231"	"MC2R"	"18"	13882043	13915706	"-"	4158
"ENSG00000103642"	"LACTB"	"15"	63413999	63434260	"+"	114294
"ENSG00000197299"	"BLM"	"15"	91260558	91358859	"+"	641
"ENSG00000154719"	"MRPL39"	"21"	26957968	26979829	"-"	54148
"ENSG00000261678"	"SCRT1"	"HG243_PATCH"	145387965	145391184	"-"	83482
"ENSG00000175322"	"ZNF519"	"18"	14057456	14132489	"-"	162655
"ENSG00000101160"	"CTSZ"	"20"	57570240	57582302	"-"	1522
"ENSG00000022277"	"RTFDC1"	"20"	55043647	55093943	"+"	51507
"ENSG00000166145"	"SPINT1"	"15"	41136216	41150405	"+"	6692
"ENSG00000088881"	"EBF4"	"20"	2673524	2740753	"+"	57593
"ENSG00000101162"	"TUBB1"	"20"	57594309	57601709	"+"	81027
"ENSG00000140285"	"FGF7"	"15"	49715293	49780972	"+"	2252
"ENSG00000183206"	"POTEC"	"18"	14507338	14543584	"-"	388468
"ENSG00000101457"	"DNTTIP1"	"20"	44420576	44440066	"+"	116092
"ENSG00000266996"	"TCEB3CL2"	"18"	44542731	44544607	"-"	100506888
"ENSG00000154721"	"JAM2"	"21"	27011584	27089874	"+"	58494
"ENSG00000261042"	"SLC52A2"	"HG243_PATCH"	145409038	145416175	"+"	79581
"ENSG00000124172"	"ATP5E"	"20"	57600522	57607437	"-"	514
"ENSG00000234298"	"TCEB3CL"	"18"	44548658	44550534	"-"	728929
"ENSG00000185088"	"RPS27L"	"15"	63418071	63450220	"-"	51065
"ENSG00000183791"	"TCEB3C"	"18"	44554573	44556449	"-"	101930171
"ENSG00000183791"	"TCEB3C"	"18"	44554573	44556449	"-"	101930165
"ENSG00000183791"	"TCEB3C"	"18"	44554573	44556449	"-"	101929858
"ENSG00000183791"	"TCEB3C"	"18"	44554573	44556449	"-"	101060464
"ENSG00000183791"	"TCEB3C"	"18"	44554573	44556449	"-"	101060457
"ENSG00000183791"	"TCEB3C"	"18"	44554573	44556449	"-"	162699
"ENSG00000206181"	"TCEB3B"	"18"	44558943	44561988	"-"	51224
"ENSG00000170122"	"FOXD4"	"9"	116237	118417	"-"	2298
"ENSG00000166128"	"RAB8B"	"15"	63481668	63559981	"+"	51762
"ENSG00000175063"	"UBE2C"	"20"	44441215	44445596	"+"	11065
"ENSG00000124091"	"GCNT7"	"20"	55066548	55100981	"-"	140687
"ENSG00000101166"	"SLMO2"	"20"	57608200	57617964	"-"	51012
"ENSG00000261539"	"FBXL6"	"HG243_PATCH"	145410334	145414279	"-"	26233
"ENSG00000167220"	"HDHD2"	"18"	44633774	44676891	"-"	84064
"ENSG00000154723"	"ATP5J"	"21"	27088815	27107984	"-"	522
"ENSG00000171448"	"ZBTB26"	"9"	125677845	125693779	"-"	57684
"ENSG00000124103"	"FAM209A"	"20"	55092243	55101198	"+"	388799
"ENSG00000124103"	"FAM209A"	"20"	55092243	55101198	"+"	200232
"ENSG00000104047"	"DTWD1"	"15"	49913177	49937333	"+"	56986
"ENSG00000088882"	"CPXM1"	"20"	2774715	2781283	"-"	56265
"ENSG00000213714"	"FAM209B"	"20"	55108302	55111576	"+"	388799
"ENSG00000104140"	"RHOV"	"15"	41164412	41166487	"-"	171177
"ENSG00000140564"	"FURIN"	"15"	91411822	91426688	"+"	5045
"ENSG00000140157"	"NIPA2"	"15"	23004684	23034427	"-"	81614
"ENSG00000261694"	"ADCK5"	"HG243_PATCH"	145428004	145448145	"+"	203054
"ENSG00000154727"	"GABPA"	"21"	27106881	27144771	"+"	2551
"ENSG00000087510"	"TFAP2C"	"20"	55204358	55214339	"+"	7022
"ENSG00000124203"	"ZNF831"	"20"	57766075	57834168	"+"	128611
"ENSG00000101470"	"TNNC2"	"20"	44451853	44462384	"-"	7125
"ENSG00000104142"	"VPS18"	"15"	41186628	41196173	"+"	57617
"ENSG00000138613"	"APH1B"	"15"	63568217	63601325	"+"	83464
"ENSG00000011454"	"RABGAP1"	"9"	125703112	125867145	"+"	23637
"ENSG00000134049"	"IER3IP1"	"18"	44681413	44702745	"-"	51124
"ENSG00000124205"	"EDN3"	"20"	57875482	57901047	"+"	1908
"ENSG00000128917"	"DLL4"	"15"	41221538	41231237	"+"	54567
"ENSG00000198326"	"TMEM239"	"20"	2795614	2800930	"+"	100288797
